Name,File Name,File
activity,activity.svg,https://wentin.github.io/feather/icons/activity.svg
airplay,airplay.svg,https://wentin.github.io/feather/icons/airplay.svg
alert circle,alert-circle.svg,https://wentin.github.io/feather/icons/alert-circle.svg
alert octagon,alert-octagon.svg,https://wentin.github.io/feather/icons/alert-octagon.svg
alert triangle,alert-triangle.svg,https://wentin.github.io/feather/icons/alert-triangle.svg
align center,align-center.svg,https://wentin.github.io/feather/icons/align-center.svg
align justify,align-justify.svg,https://wentin.github.io/feather/icons/align-justify.svg
align left,align-left.svg,https://wentin.github.io/feather/icons/align-left.svg
align right,align-right.svg,https://wentin.github.io/feather/icons/align-right.svg
anchor,anchor.svg,https://wentin.github.io/feather/icons/anchor.svg
aperture,aperture.svg,https://wentin.github.io/feather/icons/aperture.svg
archive,archive.svg,https://wentin.github.io/feather/icons/archive.svg
arrow down circle,arrow-down-circle.svg,https://wentin.github.io/feather/icons/arrow-down-circle.svg
arrow down left,arrow-down-left.svg,https://wentin.github.io/feather/icons/arrow-down-left.svg
arrow down right,arrow-down-right.svg,https://wentin.github.io/feather/icons/arrow-down-right.svg
arrow down,arrow-down.svg,https://wentin.github.io/feather/icons/arrow-down.svg
arrow left circle,arrow-left-circle.svg,https://wentin.github.io/feather/icons/arrow-left-circle.svg
arrow left,arrow-left.svg,https://wentin.github.io/feather/icons/arrow-left.svg
arrow right circle,arrow-right-circle.svg,https://wentin.github.io/feather/icons/arrow-right-circle.svg
arrow right,arrow-right.svg,https://wentin.github.io/feather/icons/arrow-right.svg
arrow up circle,arrow-up-circle.svg,https://wentin.github.io/feather/icons/arrow-up-circle.svg
arrow up left,arrow-up-left.svg,https://wentin.github.io/feather/icons/arrow-up-left.svg
arrow up right,arrow-up-right.svg,https://wentin.github.io/feather/icons/arrow-up-right.svg
arrow up,arrow-up.svg,https://wentin.github.io/feather/icons/arrow-up.svg
at sign,at-sign.svg,https://wentin.github.io/feather/icons/at-sign.svg
award,award.svg,https://wentin.github.io/feather/icons/award.svg
bar chart 2,bar-chart-2.svg,https://wentin.github.io/feather/icons/bar-chart-2.svg
bar chart,bar-chart.svg,https://wentin.github.io/feather/icons/bar-chart.svg
battery charging,battery-charging.svg,https://wentin.github.io/feather/icons/battery-charging.svg
battery,battery.svg,https://wentin.github.io/feather/icons/battery.svg
bell off,bell-off.svg,https://wentin.github.io/feather/icons/bell-off.svg
bell,bell.svg,https://wentin.github.io/feather/icons/bell.svg
bluetooth,bluetooth.svg,https://wentin.github.io/feather/icons/bluetooth.svg
bold,bold.svg,https://wentin.github.io/feather/icons/bold.svg
book open,book-open.svg,https://wentin.github.io/feather/icons/book-open.svg
book,book.svg,https://wentin.github.io/feather/icons/book.svg
bookmark,bookmark.svg,https://wentin.github.io/feather/icons/bookmark.svg
box,box.svg,https://wentin.github.io/feather/icons/box.svg
briefcase,briefcase.svg,https://wentin.github.io/feather/icons/briefcase.svg
calendar,calendar.svg,https://wentin.github.io/feather/icons/calendar.svg
camera off,camera-off.svg,https://wentin.github.io/feather/icons/camera-off.svg
camera,camera.svg,https://wentin.github.io/feather/icons/camera.svg
cast,cast.svg,https://wentin.github.io/feather/icons/cast.svg
check circle,check-circle.svg,https://wentin.github.io/feather/icons/check-circle.svg
check square,check-square.svg,https://wentin.github.io/feather/icons/check-square.svg
check,check.svg,https://wentin.github.io/feather/icons/check.svg
chevron down,chevron-down.svg,https://wentin.github.io/feather/icons/chevron-down.svg
chevron left,chevron-left.svg,https://wentin.github.io/feather/icons/chevron-left.svg
chevron right,chevron-right.svg,https://wentin.github.io/feather/icons/chevron-right.svg
chevron up,chevron-up.svg,https://wentin.github.io/feather/icons/chevron-up.svg
chevrons down,chevrons-down.svg,https://wentin.github.io/feather/icons/chevrons-down.svg
chevrons left,chevrons-left.svg,https://wentin.github.io/feather/icons/chevrons-left.svg
chevrons right,chevrons-right.svg,https://wentin.github.io/feather/icons/chevrons-right.svg
chevrons up,chevrons-up.svg,https://wentin.github.io/feather/icons/chevrons-up.svg
chrome,chrome.svg,https://wentin.github.io/feather/icons/chrome.svg
circle,circle.svg,https://wentin.github.io/feather/icons/circle.svg
clipboard,clipboard.svg,https://wentin.github.io/feather/icons/clipboard.svg
clock,clock.svg,https://wentin.github.io/feather/icons/clock.svg
cloud drizzle,cloud-drizzle.svg,https://wentin.github.io/feather/icons/cloud-drizzle.svg
cloud lightning,cloud-lightning.svg,https://wentin.github.io/feather/icons/cloud-lightning.svg
cloud off,cloud-off.svg,https://wentin.github.io/feather/icons/cloud-off.svg
cloud rain,cloud-rain.svg,https://wentin.github.io/feather/icons/cloud-rain.svg
cloud snow,cloud-snow.svg,https://wentin.github.io/feather/icons/cloud-snow.svg
cloud,cloud.svg,https://wentin.github.io/feather/icons/cloud.svg
code,code.svg,https://wentin.github.io/feather/icons/code.svg
codepen,codepen.svg,https://wentin.github.io/feather/icons/codepen.svg
codesandbox,codesandbox.svg,https://wentin.github.io/feather/icons/codesandbox.svg
coffee,coffee.svg,https://wentin.github.io/feather/icons/coffee.svg
